t,x,y,hope,joy,satisfaction,fear
1,2.0,7.0,0.31125,0.0,0.0,0.31125
2,1.6462842,6.835775,0.31,0.0,0.0,0.31
3,1.354041,6.798342,0.3075,0.0,0.0,0.3075
4,1.1263034,6.3994117,0.30625,0.0,0.0,0.30625
5,0.94028586,5.7766314,0.305,0.0,0.0,0.305
6,0.8658788,5.527519,0.30375,0.0,0.0,0.30375
7,0.8658788,5.527519,0.30125,0.0,0.0,0.30125
8,0.8658788,5.527519,0.3,0.0,0.0,0.3
9,0.8658788,5.2675323,0.29875,0.0,0.0,0.29875
10,1.1255674,5.255079,0.2975,0.0,0.0,0.2975
11,1.5876634,5.1730223,0.29625,0.0,0.0,0.29625
12,2.2371376,5.1799965,0.29375,0.0,0.0,0.29375
13,2.756394,5.1799965,0.2925,0.0,0.0,0.2925
14,3.2737885,5.1799965,0.29125,0.0,0.0,0.29125
15,3.6832309,4.910201,0.29,0.0,0.0,0.29
16,4.201582,4.869154,0.28875,0.0,0.0,0.28875
17,4.849521,4.8200083,0.2875,0.0,0.0,0.2875
18,5.3654265,4.8200083,0.285,0.0,0.0,0.285
19,5.4837103,5.0515294,0.28375,0.0,0.0,0.28375
20,5.6537137,5.2114487,0.2825,0.0,0.0,0.2825
21,5.9922447,5.5893707,0.28125,0.0,0.0,0.28125
22,6.4700975,6.205803,0.28,0.0,0.0,0.28
23,6.869488,6.7185845,0.27875,0.0,0.0,0.27875
24,7.1091123,7.0262613,0.2775,0.0,0.0,0.2775
25,7.1091123,7.0262613,0.27625,0.0,0.0,0.27625
26,7.1091123,7.0262613,0.275,0.0,0.0,0.275
27,7.1091123,6.7662745,0.2725,0.0,0.0,0.2725
28,7.1474786,6.3781853,0.27125,0.0,0.0,0.27125
29,7.17999,5.7319098,0.27,0.0,0.0,0.27
30,7.179993,5.214731,0.26875,0.0,0.0,0.26875
31,7.179993,4.699798,0.2675,0.0,0.0,0.2675
32,7.1870327,4.382117,0.26625,0.0,0.0,0.26625
33,7.3960075,4.183635,0.265,0.0,0.0,0.265
34,8.042179,4.1799955,0.26375,0.0,0.0,0.26375
35,8.3011875,4.1799955,0.2625,0.0,0.0,0.2625
36,8.629286,4.1904106,0.26125,0.0,0.0,0.26125
37,8.629286,4.1904106,0.26,0.0,0.0,0.26
38,8.629286,4.1904106,0.25875,0.0,0.0,0.25875
39,8.889273,4.1904106,0.2575,0.0,0.0,0.2575
40,8.8671055,4.7099123,0.25625,0.0,0.0,0.25625
41,8.839396,5.3592887,0.255,0.0,0.0,0.255
42,8.820004,6.138488,0.25375,0.0,0.0,0.25375
43,8.820004,6.657174,0.2525,0.0,0.0,0.2525
44,8.820004,6.915201,0.25125,0.0,0.0,0.25125
45,9.03042,7.0679045,0.31875,0.0,0.0,0.25
46,9.03042,7.0679045,0.3175,0.0,0.0,0.24875
47,9.03042,7.0679045,0.315,0.0,0.0,0.2475
48,9.03042,6.8079176,0.31375,0.0,0.0,0.24625
49,9.05473,6.5490694,0.3125,0.0,0.0,0.245
50,9.011541,6.1614876,0.31125,0.0,0.0,0.24375
51,8.953955,5.6447124,0.30875,0.0,0.0,0.2425
52,8.893911,5.2593822,0.3075,0.0,0.0,0.24125
53,8.820015,4.617531,0.30625,0.0,0.0,0.24
54,8.820015,4.406637,0.305,0.0,0.0,0.23875
55,8.587851,4.1782036,0.30375,0.0,0.0,0.2375
56,7.9402432,4.1799946,0.30125,0.0,0.0,0.23625
57,7.681421,4.1799946,0.3,0.0,0.0,0.235
58,7.1614747,4.1745834,0.29875,0.0,0.0,0.23375
59,6.5115423,4.167821,0.2975,0.0,0.0,0.2325
60,5.9915967,4.16241,0.29625,0.0,0.0,0.23125
61,5.8655014,4.3897715,0.29375,0.0,0.0,0.23
62,5.8200607,4.589425,0.2925,0.0,0.0,0.22875
63,5.633636,4.804465,0.29125,0.0,0.0,0.2275
64,4.9950566,4.8200045,0.29,0.0,0.0,0.2275
65,4.4761677,4.8200045,0.28875,0.0,0.0,0.22625
66,4.089274,4.8200045,0.2875,0.0,0.0,0.225
67,3.5697308,4.8200035,0.285,0.0,0.0,0.22375
68,2.9213629,4.8200035,0.28375,0.0,0.0,0.2225
69,2.6637232,4.8200035,0.2825,0.0,0.0,0.22125
70,2.6637232,4.8200035,0.28125,0.0,0.0,0.22
71,2.6637232,4.8200035,0.28,0.0,0.0,0.21875
72,2.4037364,4.8200035,0.27875,0.0,0.0,0.2175
73,2.4037364,4.8200035,0.2775,0.0,0.0,0.2175
74,2.4037364,4.8200035,0.27625,0.0,0.0,0.21625
75,2.1437492,4.8200035,0.27375,0.0,0.0,0.215
76,2.178704,4.433426,0.2725,0.0,0.0,0.21375
77,2.179998,4.043536,0.27125,0.0,0.0,0.2125
78,2.179998,3.3938656,0.27,0.0,0.0,0.21125
79,2.1261666,2.9315133,0.26875,0.0,0.0,0.21
80,2.0799563,2.6182523,0.2675,0.0,0.0,0.21
81,1.7914885,2.365775,0.26625,0.0,0.0,0.20875
82,1.5168749,2.1449142,0.265,0.0,0.0,0.2075
83,1.0559912,1.9041667,0.26375,0.0,0.0,0.20625
84,1.0559912,1.9041667,0.325,0.0,0.0,0.205
85,1.0559912,1.9041667,0.32375,0.0,0.0,0.20375
86,1.0559912,1.9041667,0.32125,0.0,0.0,0.20375
87,1.0559912,1.9041667,0.32,0.0,0.0,0.2025
88,1.0559912,1.9041667,0.31875,0.0,0.0,0.20125
89,1.3159782,1.9041667,0.3175,0.0,0.0,0.2
90,1.4904613,2.0969071,0.315,0.0,0.0,0.19875
91,1.4904613,2.0969071,0.31375,0.0,0.0,0.19875
92,1.4904613,2.0969071,0.3125,0.0,0.0,0.1975
93,1.4904613,2.0969071,0.31125,0.0,0.0,0.19625
94,1.7504483,2.0969071,0.30875,0.0,0.0,0.195
95,2.131297,2.1808062,0.3075,0.0,0.0,0.19375
96,2.6361856,2.0564666,0.30625,0.0,0.0,0.19375
97,3.2599182,2.0200243,0.305,0.0,0.0,0.1925
98,3.6849103,2.0200243,0.3025,0.0,0.0,0.19125
99,3.6849103,2.0200243,0.30125,0.0,0.0,0.19
100,3.7970088,2.3432765,0.3,0.0,0.0,0.19
101,3.8366199,2.9835367,0.29875,0.0,0.0,0.18875
102,3.8366199,2.9835367,0.33125,0.0,0.0,0.1875
103,3.8366199,2.9835367,0.33,0.0,0.0,0.18625
104,3.8366199,2.9835367,0.3275,0.0,0.0,0.18625
105,3.8366199,2.9835367,0.32625,0.0,0.0,0.185
106,3.82001,2.724852,0.325,0.0,0.0,0.18375
107,3.818441,2.3952856,0.3225,0.0,0.0,0.1825
108,3.5820951,2.1766381,0.32125,0.0,0.0,0.1825
109,2.9339716,2.179994,0.32,0.0,0.0,0.18125
110,2.676203,2.179994,0.31875,0.0,0.0,0.18
111,2.676203,2.179994,0.31625,0.0,0.0,0.18
112,2.676203,2.179994,0.315,0.0,0.0,0.17875
113,2.676203,2.179994,0.31375,0.0,0.0,0.1775
114,2.4162161,2.179994,0.3125,0.0,0.0,0.17625
115,2.4162161,2.179994,0.31,0.0,0.0,0.17625
116,2.4162161,2.179994,0.30875,0.0,0.0,0.175
117,2.156229,2.179994,0.3075,0.0,0.0,0.17375
118,2.1729674,2.6996984,0.30625,0.0,0.0,0.17375
119,2.1799967,3.3492513,0.30375,0.0,0.0,0.1725
120,2.1799967,3.867414,0.3025,0.0,0.0,0.17125
121,2.1799967,4.385393,0.30125,0.0,0.0,0.17125
122,2.179997,4.5971165,0.3,0.0,0.0,0.17
123,2.179997,4.5971165,0.29875,0.0,0.0,0.16875
124,2.179997,4.5971165,0.29625,0.0,0.0,0.1675
125,2.179997,4.5971165,0.295,0.0,0.0,0.1675
126,2.179997,4.857104,0.29375,0.0,0.0,0.16625
127,2.179997,4.857104,0.2925,0.0,0.0,0.165
128,2.828855,4.8200054,0.29125,0.0,0.0,0.165
129,3.347288,4.8200054,0.29,0.0,0.0,0.16375
130,3.9960225,4.8200026,0.2875,0.0,0.0,0.16375
131,4.515481,4.8200026,0.28625,0.0,0.0,0.1625
132,5.1633277,4.820003,0.285,0.0,0.0,0.16125
133,5.6121097,4.81501,0.28375,0.0,0.0,0.3125
134,6.116339,4.6880236,0.2825,0.0,0.0,0.31125
135,6.746626,4.5292897,0.28125,0.0,0.0,0.31
136,6.9987407,4.4657965,0.28,0.0,0.0,0.33125
137,7.22387,4.338139,0.2775,0.0,0.0,0.33
138,7.473567,4.1675572,0.27625,0.0,0.0,0.3275
139,7.992902,4.1799955,0.275,0.0,0.0,0.35
140,8.38113,4.1799955,0.27375,0.0,0.0,0.34875
141,8.770763,4.191427,0.2725,0.0,0.0,0.34625
142,8.980597,4.0214224,0.27125,0.0,0.0,0.345
143,9.300744,3.9789448,0.27,0.0,0.0,0.3425
144,9.300744,3.9789448,0.26875,0.0,0.0,0.34125
145,9.300744,3.9789448,0.2675,0.0,0.0,0.34
146,9.560132,3.9789448,0.26625,0.0,0.0,0.3375
147,9.947396,3.9799895,0.265,0.0,0.0,0.33625
148,10.711458,3.979989,0.375,0.0,0.0,0.335
