t,x,y,hope,joy,satisfaction,fear
1,2.0,7.0,0.6225,0.0,0.0,0.6225
2,1.6462842,6.835775,0.61875,0.0,0.0,0.61875
3,1.354041,6.798342,0.61625,0.0,0.0,0.61625
4,1.1263034,6.3994117,0.6125,0.0,0.0,0.6125
5,0.94028586,5.7766314,0.61,0.0,0.0,0.61
6,0.8658788,5.527519,0.60625,0.0,0.0,0.60625
7,0.8658788,5.527519,0.60375,0.0,0.0,0.60375
8,0.8658788,5.527519,0.6,0.0,0.0,0.6
9,0.8658788,5.2675323,0.5975,0.0,0.0,0.5975
10,1.1255674,5.255079,0.595,0.0,0.0,0.595
11,1.5876634,5.1730223,0.59125,0.0,0.0,0.59125
12,2.1072524,5.1799965,0.58875,0.0,0.0,0.58875
13,2.8860533,5.1799965,0.58625,0.0,0.0,0.58625
14,3.4016306,5.1799965,0.5825,0.0,0.0,0.5825
15,3.6832263,4.910203,0.58,0.0,0.0,0.58
16,4.07199,4.8794174,0.5775,0.0,0.0,0.5775
17,4.849517,4.8200083,0.57375,0.0,0.0,0.57375
18,5.3654222,4.820008,0.57125,0.0,0.0,0.57125
19,5.483708,5.051528,0.56875,0.0,0.0,0.56875
20,5.6537113,5.2114477,0.565,0.0,0.0,0.565
21,5.992243,5.589368,0.5625,0.0,0.0,0.5625
22,6.3907304,6.102848,0.56,0.0,0.0,0.56
23,6.789882,6.6158156,0.5575,0.0,0.0,0.5575
24,7.1091986,7.0261936,0.55375,0.0,0.0,0.55375
25,7.1091986,7.0261936,0.55125,0.0,0.0,0.55125
26,7.1091986,7.0261936,0.54875,0.0,0.0,0.54875
27,7.1091986,6.7662067,0.54625,0.0,0.0,0.54625
28,7.160327,6.2487526,0.54375,0.0,0.0,0.54375
29,7.1799903,5.6035314,0.54125,0.0,0.0,0.54125
30,7.1799927,5.217408,0.5375,0.0,0.0,0.5375
31,7.1799927,4.7024255,0.535,0.0,0.0,0.535
32,7.1861525,4.384577,0.5325,0.0,0.0,0.5325
33,7.3923707,4.1848774,0.53,0.0,0.0,0.53
34,7.9080844,4.1799955,0.5275,0.0,0.0,0.5275
35,8.296876,4.1799955,0.525,0.0,0.0,0.525
36,8.625317,4.1887827,0.5225,0.0,0.0,0.5225
37,8.625317,4.1887827,0.52,0.0,0.0,0.52
38,8.625317,4.1887827,0.51625,0.0,0.0,0.51625
39,8.8853035,4.1887827,0.51375,0.0,0.0,0.51375
40,8.863828,4.708313,0.51125,0.0,0.0,0.51125
41,8.836983,5.357726,0.50875,0.0,0.0,0.50875
42,8.820004,6.00712,0.50625,0.0,0.0,0.50625
43,8.820004,6.5261354,0.50375,0.0,0.0,0.50375
44,8.820004,6.9136853,0.50125,0.0,0.0,0.50125
45,9.03006,7.066885,0.49875,0.0,0.0,0.49875
46,9.03006,7.066885,0.49625,0.0,0.0,0.49625
47,9.03006,7.066885,0.49375,0.0,0.0,0.49375
48,9.03006,6.8068976,0.49125,0.0,0.0,0.49125
49,9.054592,6.548071,0.48875,0.0,0.0,0.48875
50,8.997017,6.031294,0.48625,0.0,0.0,0.48625
51,8.953836,5.6437116,0.48375,0.0,0.0,0.48375
52,8.873764,5.12994,0.4825,0.0,0.0,0.4825
53,8.820015,4.616545,0.48,0.0,0.0,0.48
54,8.820015,4.405856,0.4775,0.0,0.0,0.4775
55,8.586123,4.17772,0.475,0.0,0.0,0.475
56,8.067635,4.1799946,0.4725,0.0,0.0,0.4725
57,7.679516,4.1799946,0.47,0.0,0.0,0.47
58,7.15957,4.1745787,0.4675,0.0,0.0,0.4675
59,6.639624,4.1691628,0.465,0.0,0.0,0.465
60,5.989692,4.1623926,0.4625,0.0,0.0,0.6625
61,5.864396,4.390196,0.46125,0.0,0.0,0.65875
62,5.820061,4.589868,0.45875,0.0,0.0,0.7
63,5.632555,4.804975,0.45625,0.0,0.0,0.69625
64,4.8638315,4.8200045,0.45375,0.0,0.0,0.7375
65,4.3453474,4.8200045,0.45125,0.0,0.0,0.73375
