t,x,y,hope,joy,satisfaction,fear
1,2.0,7.0,0.0,0.0,0.0,0.0
2,1.6462842,6.835775,0.0,0.0,0.0,0.0
3,1.354041,6.798342,0.0,0.0,0.0,0.0
4,1.1263034,6.3994117,0.0,0.0,0.0,0.0
5,0.9774894,5.9011874,0.0,0.0,0.0,0.0
6,0.8658788,5.527519,0.0,0.0,0.0,0.0
7,0.8658788,5.527519,0.0,0.0,0.0,0.0
8,0.8658788,5.527519,0.0,0.0,0.0,0.0
9,0.8658788,5.2675323,0.0,0.0,0.0,0.0
10,1.1255674,5.255079,0.0,0.0,0.0,0.0
11,1.5876634,5.1730223,0.0,0.0,0.0,0.0
12,2.2371376,5.1799965,0.0,0.0,0.0,0.0
13,2.7563872,5.1799965,0.0,0.0,0.0,0.0
14,3.2737818,5.1799965,0.0,0.0,0.0,0.0
15,3.6832263,4.910203,0.0,0.0,0.0,0.0
16,4.2015777,4.8691554,0.0,0.0,0.0,0.0
17,4.849517,4.8200083,0.0,0.0,0.0,0.0
18,5.3654222,4.8200083,0.0,0.0,0.0,0.0
19,5.483708,5.051528,0.0,0.0,0.0,0.0
20,5.6537113,5.2114477,0.0,0.0,0.0,0.0
21,5.9130974,5.486245,0.0,0.0,0.0,0.0
22,6.232098,5.8968687,0.0,0.0,0.0,0.0
23,6.5510993,6.3074913,0.0,0.0,0.0,0.0
24,6.8701,6.718115,0.0,0.0,0.0,0.0
25,7.1093507,7.026082,0.0,0.0,0.0,0.0
26,7.1093507,7.026082,0.0,0.0,0.0,0.0
27,7.1093507,7.026082,0.0,0.0,0.0,0.0
28,7.1093507,6.766095,0.0,0.0,0.0,0.0
29,7.160432,6.2486362,0.0,0.0,0.0,0.0
30,7.1799903,5.73172,0.0,0.0,0.0,0.0
31,7.179994,5.2130933,0.0,0.0,0.0,0.0
32,7.179994,4.6981907,0.0,0.0,0.0,0.0
33,7.187582,4.3806186,0.0,0.0,0.0,0.0
34,7.3982325,4.1828995,0.0,0.0,0.0,0.0
35,7.9150476,4.1799955,0.0,0.0,0.0,0.0
36,8.303803,4.1799955,0.0,0.0,0.0,0.0
37,8.631672,4.1914277,0.0,0.0,0.0,0.0
38,8.631672,4.1914277,0.0,0.0,0.0,0.0
39,8.631672,4.1914277,0.0,0.0,0.0,0.0
40,8.891659,4.1914277,0.0,0.0,0.0,0.0
41,8.874722,4.5810404,0.0,0.0,0.0,0.0
42,8.8521385,5.100524,0.0,0.0,0.0,0.0
43,8.8295555,5.620007,0.0,0.0,0.0,0.0
44,8.820004,6.26924,0.0,0.0,0.0,0.0
45,8.820004,6.787388,0.0,0.0,0.0,0.0
46,9.030646,7.0685406,0.0,0.0,0.0,0.0
47,9.030646,7.0685406,0.0,0.0,0.0,0.0
48,9.030646,7.0685406,0.0,0.0,0.0,0.0
49,9.030646,6.8085537,0.0,0.0,0.0,0.0
50,9.054817,6.5496926,0.0,0.0,0.0,0.0
51,9.011622,6.1621118,0.0,0.0,0.0,0.0
52,8.954029,5.645337,0.0,0.0,0.0,0.0
53,8.893992,5.2600055,0.0,0.0,0.0,0.0
54,8.820016,4.618147,0.0,0.0,0.0,0.0
55,8.820016,4.407125,0.0,0.0,0.0,0.0
56,8.688701,4.2282724,0.0,0.0,0.0,0.0
57,8.070768,4.1799946,0.0,0.0,0.0,0.0
58,7.6826215,4.179994,0.0,0.0,0.0,0.0
59,7.292662,4.1759386,0.0,0.0,0.0,0.0
60,6.6427298,4.16918,0.0,0.0,0.0,0.0
61,6.1227837,4.1637726,0.0,0.0,0.0,0.6625
62,5.951959,4.359763,0.0,0.0,0.0,0.66
63,5.799058,4.6492825,0.0,0.0,0.0,0.7
64,5.6030283,4.816964,0.0,0.0,0.0,0.6975
65,5.0864553,4.8200045,0.0,0.0,0.0,0.7375
66,4.437823,4.8200045,0.0,0.0,0.0,0.735
67,4.051529,4.8200045,0.0,0.0,0.0,0.7325
68,3.5320091,4.8200035,0.0,0.0,0.0,0.73
69,3.013178,4.8200035,0.0,0.0,0.0,0.7275
