t,x,y,hope,joy,satisfaction,fear
1,2.0,7.0,0.0,0.0,0.0,0.0
2,1.6462842,6.835775,0.0,0.0,0.0,0.0
3,1.354041,6.798342,0.0,0.0,0.0,0.0
4,1.1263034,6.3994117,0.0,0.0,0.0,0.0
5,0.94028586,5.7766314,0.0,0.0,0.0,0.0
6,0.8658788,5.527519,0.0,0.0,0.0,0.0
7,0.8658788,5.527519,0.0,0.0,0.0,0.0
8,0.8658788,5.527519,0.0,0.0,0.0,0.0
9,0.8658788,5.2675323,0.0,0.0,0.0,0.0
10,1.1255674,5.255079,0.0,0.0,0.0,0.0
11,1.457821,5.1667566,0.0,0.0,0.0,0.0
12,1.977425,5.1799965,0.0,0.0,0.0,0.0
13,2.626725,5.1799965,0.0,0.0,0.0,0.0
14,3.1449883,5.1799965,0.0,0.0,0.0,0.0
15,3.5870686,4.9476414,0.0,0.0,0.0,0.0
16,4.0808415,4.8484135,0.0,0.0,0.0,0.0
17,4.59993,4.820006,0.0,0.0,0.0,0.0
18,5.118225,4.820006,0.0,0.0,0.0,0.0
19,5.40862,5.0237603,0.0,0.0,0.0,0.0
20,5.5857244,5.189605,0.0,0.0,0.0,0.0
21,5.9280014,5.528247,0.0,0.0,0.0,0.0
22,6.2487893,5.9374666,0.0,0.0,0.0,0.0
23,6.6512237,6.447863,0.0,0.0,0.0,0.0
24,6.9731603,6.856189,0.0,0.0,0.0,0.0
25,7.134128,7.060352,0.0,0.0,0.0,0.0
26,7.134128,7.060352,0.0,0.0,0.0,0.0
27,7.169997,6.5416164,0.0,0.0,0.0,0.0
28,7.179993,6.0231395,0.0,0.0,0.0,0.0
29,7.179993,5.508857,0.0,0.0,0.0,0.0
30,7.179993,4.9910192,0.0,0.0,0.0,0.0
31,7.179993,4.6076927,0.0,0.0,0.0,0.0
32,7.2289996,4.308503,0.0,0.0,0.0,0.0
33,7.3939867,4.183938,0.0,0.0,0.0,0.0
34,7.780423,4.1799955,0.0,0.0,0.0,0.0
35,8.299035,4.1799955,0.0,0.0,0.0,0.0
36,8.62731,4.1895905,0.0,0.0,0.0,0.0
37,8.62731,4.1895905,0.0,0.0,0.0,0.0
38,8.62731,4.1895905,0.0,0.0,0.0,0.0
39,8.887297,4.1895905,0.0,0.0,0.0,0.0
40,8.865474,4.7091064,0.0,0.0,0.0,0.0
41,8.843651,5.2286224,0.0,0.0,0.0,0.0
42,8.821828,5.7481384,0.0,0.0,0.0,0.0
43,8.820004,6.3972445,0.0,0.0,0.0,0.0
44,8.820004,6.9144363,0.0,0.0,0.0,0.0
45,9.030238,7.06739,0.0,0.0,0.0,0.0
46,9.030238,7.06739,0.0,0.0,0.0,0.0
47,9.030238,7.06739,0.0,0.0,0.0,0.0
48,9.030238,6.807403,0.0,0.0,0.0,0.0
49,9.05466,6.548566,0.0,0.0,0.0,0.0
50,8.99708,6.03179,0.0,0.0,0.0,0.0
51,8.953896,5.6442075,0.0,0.0,0.0,0.0
52,8.87383,5.130435,0.0,0.0,0.0,0.0
53,8.820015,4.617034,0.0,0.0,0.0,0.0
54,8.820015,4.4062433,0.0,0.0,0.0,0.0
55,8.687342,4.2272663,0.0,0.0,0.0,0.0
56,8.068584,4.1799946,0.0,0.0,0.0,0.0
57,7.680457,4.1799946,0.0,0.0,0.0,0.0
58,7.0305247,4.173228,0.0,0.0,0.0,0.0
59,6.510579,4.1678143,0.0,0.0,0.0,0.0
60,5.990633,4.162401,0.0,0.0,0.0,0.0
61,5.8649416,4.389986,0.0,0.0,0.0,0.0
62,5.820061,4.589649,0.0,0.0,0.0,0.0
63,5.716411,4.747513,0.0,0.0,0.0,0.0
64,5.2536573,4.821233,0.0,0.0,0.0,0.0
65,4.604645,4.8200045,0.0,0.0,0.0,0.0
66,4.0881715,4.8200045,0.0,0.0,0.0,0.0
67,3.5686285,4.8200035,0.0,0.0,0.0,0.0
68,3.049708,4.8200035,0.0,0.0,0.0,0.0
69,2.6626375,4.8200035,0.75,0.0,0.0,0.0
70,2.6626375,4.8200035,0.7475,0.0,0.0,0.0
